系统名称,门店简称,现有代理商,分类,场景
南京乾璟佳商贸有限公司（新平台）,南京乾璟佳,南京乾璟佳,太和会,分销
宁波尚博电子商务有限公司（新平台）,宁波尚博,宁波尚博,太和会,分销
广州市邦耐贸易有限公司（新平台）,广州邦耐,广州邦耐,太和会,分销
安徽中厨（新平台）,安徽中厨,安徽中厨,新平台,分销
上海探影（新平台）,上海探影,上海探影,太和会,分销
中科云商（惠州）科技有限公司（新平台）,中科云商,中科云商,太和会,供应链
杭州松伽（新平台）,杭州松伽,杭州松伽,太和会,团购
普林斯顿（新平台）,普林斯顿,普林斯顿,太和会,分销
央广幸福购物,央广购物,其他,新平台,分销
上海探影（社群）,上海探影,上海探影,太和会,分销
合肥维森电子商务有限公司（新平台）,合肥维森,合肥维森,新平台,分销
长沙福品（新平台）,长沙福品,长沙福品,新平台,分销
同舟益源（新平台）,同舟益源,同舟益源,新平台,分销
快品小哥（新平台）,快品小哥,其他,新平台,分销
北京拾光机科技发展有限公司（新平台）,北京拾光机,北京拾光机,新平台,分销
徐州青葵电子商务有限公司（新平台）,徐州青葵,徐州青葵,太和会,分销
宁波市迅润电子商务有限公司（新平台）,宁波迅润,其他,新平台,分销
佛山优优乐商贸有限公司  （新平台）,佛山优优乐,佛山优优乐,新平台,供应链
成都惠榆（新平台）,成都惠榆,其他,新平台,分销
徐州青匠（新平台）,徐州青匠,徐州青匠,新平台,分销
宁波艺趣网络科技有限公司（新平台）,宁波艺趣,其他,新平台,分销
杭州炙阳（新平台）,杭州炙阳,其他,新平台,分销
北京易轩源（新平台）,北京易轩源,其他,新平台,分销
安徽策矿商贸-社群,安徽中厨,安徽中厨,新平台,分销
杭州星阳电子科技有限公司（新平台）,杭州星阳,其他,新平台,分销
合肥维森（社群）,合肥维森,合肥维森,新平台,分销
南昌巨灿（新平台）,南昌巨灿,其他,新平台,分销
北京爱花生（社群）,普林斯顿,普林斯顿,太和会,分销
上海谦礼秋拾信息科技有限公司（新平台）,上海探影,上海探影,太和会,分销
佛山市拿货心选供应链管理有限公司（新平台）,拿货心选,其他,新平台,分销
沈阳茂荣（新平台）,沈阳茂荣,其他,新平台,分销
北京同舟益佳（社群）,同舟益源,同舟益源,新平台,分销
天津倾心（新平台）,天津倾心,天津倾心,新平台,分销
广州卓越新零售股份有限公司,广州卓越,其他,新平台,分销
宁波紫竹（新平台）,宁波紫竹,宁波紫竹,新平台,分销
方太自营旗舰店（微信）,小程序,其他,新平台,分销
徐州青葵（社群）,徐州青葵,徐州青葵,太和会,分销
南京金视（新平台）,南京金视,其他,新平台,分销
江苏贝甄选数字科技有限公司（新平台）,江苏贝甄选,其他,新平台,分销
常州方瑞（新平台）,常州方瑞,其他,新平台,分销
普林斯顿（美团）,普林斯顿,普林斯顿,太和会,分销
总计,总计,其他,新平台,分销
佛山优优乐商贸有限公司（新平台）,佛山优优乐,佛山优优乐,新平台,供应链
安徽又益加（新平台）,普林斯顿,普林斯顿,太和会,分销
万商优选（新平台）,佛山优优乐,佛山优优乐,新平台,供应链
